Player,AVG,position,year,search_full_name,player_id
Elijah Hood,375.0,RB,2017,elijahhood,4265
Benny Cunningham Jr.,376.0,RB,2017,bennycunningham,1564
Elijah McGuire,378.0,RB,2017,elijahmcguire,4263
Shaun Draughn,379.0,RB,2017,shaundraughn,913
Albert Wilson,381.0,WR,2017,albertwilson,2025
AJ McCarron,382.0,QB,2017,ajmccarron,1895
Jeff Heuerman,383.0,TE,2017,jeffheuerman,2397
Charone Peake,384.0,WR,2017,charonepeake,3396
Rashad Jennings,385.0,RB,2017,rashadjennings,380
Ricardo Louis,386.0,WR,2017,ricardolouis,3275
Calvin Johnson,387.0,WR,2017,calvinjohnson,240
Devante Mays,390.0,RB,2017,devantemays,4244
Ryan Fitzpatrick,391.0,QB,2017,ryanfitzpatrick,333
Todd Gurley,1.0,RB,2018,toddgurley,2315
Le'Veon Bell,2.0,RB,2018,leveonbell,1408
Ezekiel Elliott,4.0,RB,2018,ezekielelliott,3164
Antonio Brown,5.3,WR,2018,antoniobrown,536
Alvin Kamara,5.7,RB,2018,alvinkamara,4035
Saquon Barkley,7.0,RB,2018,saquonbarkley,4866
Kareem Hunt,9.3,RB,2018,kareemhunt,4098
DeAndre Hopkins,9.3,WR,2018,deandrehopkins,1426
Leonard Fournette,9.7,RB,2018,leonardfournette,3969
Melvin Gordon,10.3,RB,2018,melvingordon,2320
Odell Beckham Jr.,11.3,WR,2018,odellbeckham,2078
Julio Jones,14.0,WR,2018,juliojones,947
Christian McCaffrey,14.3,RB,2018,christianmccaffrey,4034
Dalvin Cook,14.3,RB,2018,dalvincook,4029
Michael Thomas,15.7,WR,2018,michaelthomas,3199
Keenan Allen,16.7,WR,2018,keenanallen,1479
Devonta Freeman,19.0,RB,2018,devontafreeman,2168
Davante Adams,19.0,WR,2018,davanteadams,2133
A.J. Green ,20.3,WR,2018,ajgreen,830
Rob Gronkowski,20.7,TE,2018,robgronkowski,515
Joe Mixon,22.3,RB,2018,joemixon,4018
Jordan Howard,23.3,RB,2018,jordanhoward,3306
Mike Evans,23.7,WR,2018,mikeevans,2216
Tyreek Hill,25.3,WR,2018,tyreekhill,3321
Travis Kelce,26.7,TE,2018,traviskelce,1466
T.Y. Hilton,27.7,WR,2018,tyhilton,1110
LeSean McCoy,28.0,RB,2018,leseanmccoy,676
Stefon Diggs,30.0,WR,2018,stefondiggs,2449
Adam Thielen,30.7,WR,2018,adamthielen,1689
Kenyan Drake,31.7,RB,2018,kenyandrake,3242
Doug Baldwin,34.3,WR,2018,dougbaldwin,988
Alex Collins ,35.0,RB,2018,alexcollins,3327
Zach Ertz,35.3,TE,2018,zachertz,1339
Amari Cooper,35.3,WR,2018,amaricooper,2309
Aaron Rodgers,36.7,QB,2018,aaronrodgers,96
Larry Fitzgerald,36.7,WR,2018,larryfitzgerald,223
Derrick Henry,39.3,RB,2018,derrickhenry,3198
Jarvis Landry,42.0,WR,2018,jarvislandry,1825
JuJu Smith-Schuster,42.3,WR,2018,jujusmithschuster,4040
Jay Ajayi ,42.7,RB,2018,jayajayi,2452
Mark Ingram II ,43.7,RB,2018,markingram,956
Royce Freeman,44.0,RB,2018,roycefreeman,5046
Demaryius Thomas ,44.7,WR,2018,demaryiusthomas,560
Brandin Cooks,45.0,WR,2018,brandincooks,2197
Lamar Miller,45.3,RB,2018,lamarmiller,1048
Allen Robinson,48.3,WR,2018,allenrobinson,1992
Golden Tate,49.0,WR,2018,goldentate,642
Dion Lewis,50.0,RB,2018,dionlewis,788
Josh Gordon ,50.3,WR,2018,joshgordon,1244
Marvin Jones Jr. ,53.3,WR,2018,marvinjones,1067
Deshaun Watson,56.3,QB,2018,deshaunwatson,4017
Jimmy Graham,56.3,TE,2018,jimmygraham,616
Chris Hogan,56.7,WR,2018,chrishogan,1329
Carlos Hyde,60.0,RB,2018,carloshyde,2257
Marquise Goodwin,60.7,WR,2018,marquisegoodwin,1346
Russell Wilson,60.7,QB,2018,russellwilson,1234
Corey Davis,62.0,WR,2018,coreydavis,4036
Greg lsen,63.0,TE,2018,greglsen,
Rex Burkhead,63.3,RB,2018,rexburkhead,1387
Tevin Coleman,63.3,RB,2018,tevincoleman,2378
Tom Brady,65.7,QB,2018,tombrady,167
Michael Crabtree,66.7,WR,2018,michaelcrabtree,455
Marshawn Lynch ,67.3,RB,2018,marshawnlynch,745
Evan Engram,67.3,TE,2018,evanengram,4066
Emmanuel Sanders ,68.0,WR,2018,emmanuelsanders,538
Julian Edelman ,69.0,WR,2018,julianedelman,344
Sony Michel,70.0,RB,2018,sonymichel,4962
William Fuller V ,72.7,WR,2018,williamfuller,3157
Cam Newton ,73.3,QB,2018,camnewton,954
Alshon Jeffery,74.0,WR,2018,alshonjeffery,1149
Kerryon Johnson ,74.3,RB,2018,kerryonjohnson,5068
Rashaad Penny,74.7,RB,2018,rashaadpenny,4985
Jamaal Williams,76.7,RB,2018,jamaalwilliams,4149
Sammy Watkins,78.7,WR,2018,sammywatkins,1817
Tarik Cohen,79.7,RB,2018,tarikcohen,4157
Drew Brees,81.0,QB,2018,drewbrees,289
Devin Funchess,82.0,WR,2018,devinfunchess,
Trey Burton ,82.3,TE,2018,treyburton,1793
Kyle Rudolph,83.0,TE,2018,kylerudolph,943
Jordan Reed ,84.0,TE,2018,jordanreed,1500
Cooper Kupp,84.0,WR,2018,cooperkupp,4039
Chris Carson,84.7,RB,2018,chriscarson,4273
Jamison Crowder,85.0,WR,2018,jamisoncrowder,2410
Robert Woods,86.3,WR,2018,robertwoods,1352
Isaiah Crowell ,87.3,RB,2018,isaiahcrowell,1901
Duke Johnson Jr.,89.3,RB,2018,dukejohnson,2382
Robbie Chosen,91.3,WR,2018,robbiechosen,3423
Pierre Garcon ,91.7,WR,2018,pierregarcon,269
Ronald Jones,93.0,RB,2018,ronaldjones,5052
Carson Wentz,94.3,QB,2018,carsonwentz,3161
Nelson Agholor,95.7,WR,2018,nelsonagholor,2325
Matthew Stafford,98.0,QB,2018,matthewstafford,421
Kirk Cousins,98.7,QB,2018,kirkcousins,1166
Randall Cobb,98.7,WR,2018,randallcobb,928
Andrew Luck,100.0,QB,2018,andrewluck,1111
Marlon Mack,100.0,RB,2018,marlonmack,4152
Aaron Jones r.,101.3,RB,2018,aaronjonesr,
Jordy Nelson,103.0,WR,2018,jordynelson,175
David Johnson,103.3,RB,2018,davidjohnson,2391
James White,104.7,RB,2018,jameswhite,1848
Ben Roethlisberger,105.3,QB,2018,benroethlisberger,138
Sterling Shepard,106.0,WR,2018,sterlingshepard,3200
David Njoku,106.7,TE,2018,davidnjoku,4033
Jack Doyle ,107.3,TE,2018,jackdoyle,1706
Jimmy Garoppolo,108.3,QB,2018,jimmygaroppolo,1837
Kenny Stills,109.3,WR,2018,kennystills,1555
Philip Rivers,110.7,QB,2018,philiprivers,331
Peyton Barber,112.7,RB,2018,peytonbarber,3594
C.J. Anderson,113.0,RB,2018,cjanderson,1451
Kelvin Benjamin,113.0,WR,2018,kelvinbenjamin,2182
Matt Ryan,113.7,QB,2018,mattryan,24
Nick Chubb,115.0,RB,2018,nickchubb,4988
George Kittle,115.0,TE,2018,georgekittle,4217
Patrick Mahomes II,115.3,QB,2018,patrickmahomes,4046
Jared Goff,121.3,QB,2018,jaredgoff,3163
DeVante Parker,123.7,WR,2018,devanteparker,2319
Marcus Mariota,126.7,QB,2018,marcusmariota,2307
Giovani Bernard,128.3,RB,2018,giovanibernard,1386
Mike Williams,129.0,WR,2018,mikewilliams,4068
Ty Montgomery,130.0,RB,2018,tymontgomery,2399
Allen Hurns,130.3,WR,2018,allenhurns,1984
Alex Smith ,133.3,QB,2018,alexsmith,268
Tyler Eifert ,134.0,TE,2018,tylereifert,1388
.J. Howard,134.3,TE,2018,jhoward,
DJ Moore,135.3,WR,2018,djmoore,4983
Kenny Golladay,136.0,WR,2018,kennygolladay,4131
Theo Riddick,136.3,RB,2018,theoriddick,1517
Cameron Meredith ,136.7,WR,2018,cameronmeredith,2699
Corey Clement,137.7,RB,2018,coreyclement,4651
