AVG,year,player,fantasyPts,position,bucket,median,expected_diff,player_id
262.3,2017,Branden Oliver,16.9,RB,12,20.7,-3.8,2050
263.7,2017,Javorius Allen,166.1,RB,12,20.7,145.4,2430
264.0,2017,Kenyan Drake,144.3,RB,12,20.7,123.6,3242
266.5,2017,Zach Zenner,8.6,RB,12,20.7,-12.1,2560
276.7,2017,Orleans Darkwa,135.7,RB,12,20.7,115.0,1819
277.0,2017,Kyle Juszczyk,73.6,RB,13,52.85,20.75,
286.5,2017,Chris Ivory,88.7,RB,13,52.85,35.85,717
288.5,2017,Wayne Gallman,106.9,RB,13,52.85,54.05,4150
289.0,2017,Akeem Hunt,9.4,RB,13,52.85,-43.45,2731
296.5,2017,Damien Williams,59.6,RB,13,52.85,6.75000000000001,1833
300.5,2017,Andre Ellington,87.4,RB,13,52.85,34.55,1575
301.0,2017,Matt Jones,1.4,RB,14,23.9,-22.5,2400
303.0,2017,Aaron Jones,80.0,RB,14,23.9,56.1,4199
306.0,2017,Kerwynn Williams,67.9,RB,14,23.9,44.0,1441
306.0,2017,Fitzgerald Toussaint,5.4,RB,14,23.9,-18.5,2282
309.0,2017,Malcolm Brown,44.9,RB,14,23.9,21.0,2588
309.0,2017,Corey Clement,90.4,RB,14,23.9,66.5,4651
314.0,2017,Dwayne Washington,7.8,RB,15,42.5,-34.7,3391
314.0,2017,Mike Tolbert,52.5,RB,15,42.5,10.0,
317.0,2017,Cameron Artis-Payne,16.7,RB,15,42.5,-25.8,2477
319.0,2017,Alfred Blue,44.6,RB,15,42.5,2.1,1944
323.0,2017,C.J. Spiller,0.0,RB,15,42.5,-42.5,507
337.0,2017,Alex Collins,175.0,RB,15,42.5,132.5,3327
338.0,2017,Travaris Cadet,37.5,RB,16,16.7,20.8,1185
348.0,2017,Lance Dunbar,12.2,RB,16,16.7,-4.5,1284
376.0,2017,Benny Cunningham,58.9,RB,16,16.7,42.2,1564
378.0,2017,Elijah McGuire,78.2,RB,16,16.7,61.5,4263
390.0,2017,Devante Mays,3.1,RB,16,16.7,-13.6,4244
19.3,2017,Rob Gronkowski,225.4,TE,0,159.6,65.8,515
32.0,2017,Travis Kelce,235.5,TE,0,159.6,75.9,1466
47.0,2017,Jordan Reed,60.1,TE,0,159.6,-99.5,1500
49.7,2017,Greg Olsen,42.1,TE,0,159.6,-117.5,58
60.3,2017,Jimmy Graham,169.0,TE,0,159.6,9.40000000000001,616
76.0,2017,Tyler Eifert,8.6,TE,0,159.6,-151.0,1388
80.3,2017,Kyle Rudolph,158.2,TE,1,146.15,12.05,943
82.7,2017,Zach Ertz,204.4,TE,1,146.15,58.25,1339
86.0,2017,Delanie Walker,178.5,TE,1,146.15,32.35,284
95.7,2017,Martellus Bennett,58.6,TE,1,146.15,-87.55,40
101.3,2017,Hunter Henry,126.9,TE,1,146.15,-19.25,3214
108.7,2017,Eric Ebron,134.4,TE,1,146.15,-11.75,2118
117.7,2017,Jack Doyle,173.0,TE,2,113.45,59.55,1706
129.7,2017,Coby Fleener,63.5,TE,2,113.45,-49.95,1107
139.7,2017,Austin Hooper,119.6,TE,2,113.45,6.14999999999999,3202
142.3,2017,Jason Witten,149.0,TE,2,113.45,35.55,23
147.0,2017,Cameron Brate,143.1,TE,2,113.45,29.65,2214
153.7,2017,Julius Thomas,97.8,TE,2,113.45,-15.65,874
164.7,2017,O.J. Howard,105.2,TE,3,102.85,2.35000000000001,4055
169.3,2017,C.J. Fiedorowicz,26.7,TE,3,102.85,-76.15,1951
172.0,2017,Evan Engram,173.6,TE,3,102.85,70.75,4066
174.3,2017,Jared Cook,134.8,TE,3,102.85,31.95,367
182.3,2017,Antonio Gates,79.6,TE,3,102.85,-23.25,322
185.7,2017,Charles Clay,116.8,TE,3,102.85,13.95,801
190.7,2017,Dwayne Allen,24.6,TE,4,72.05,-47.45,1105
196.3,2017,David Njoku,94.7,TE,4,72.05,22.65,4033
203.7,2017,Austin Seferian-Jenkins,103.7,TE,4,72.05,31.65,2222
