Player,AVG,year,fantasyPts,position,bucket,median,expected_diff
Javorius Allen,263.7,2017,166.1,RB,12,20.7,145.4
Kenyan Drake,264.0,2017,144.3,RB,12,20.7,123.60000000000001
Zach Zenner,266.5,2017,8.6,RB,12,20.7,-12.1
Orleans Darkwa,276.7,2017,135.7,RB,12,20.7,114.99999999999999
Kyle Juszczyk,277.0,2017,73.6,RB,13,52.849999999999994,20.75
Chris Ivory,286.5,2017,88.7,RB,13,52.849999999999994,35.85000000000001
Wayne Gallman,288.5,2017,106.9,RB,13,52.849999999999994,54.05000000000001
Akeem Hunt,289.0,2017,9.4,RB,13,52.849999999999994,-43.449999999999996
Damien Williams,296.5,2017,59.6,RB,13,52.849999999999994,6.750000000000007
Andre Ellington,300.5,2017,87.4,RB,13,52.849999999999994,34.55000000000001
Matt Jones,301.0,2017,1.4,RB,14,23.9,-22.5
Aaron Jones,303.0,2017,80.0,RB,14,23.9,56.1
Kerwynn Williams,306.0,2017,67.9,RB,14,23.9,44.00000000000001
Fitzgerald Toussaint,306.0,2017,5.4,RB,14,23.9,-18.5
Malcolm Brown,309.0,2017,44.9,RB,14,23.9,21.0
Corey Clement,309.0,2017,90.4,RB,14,23.9,66.5
Dwayne Washington,314.0,2017,7.8,RB,15,42.5,-34.7
Mike Tolbert,314.0,2017,52.5,RB,15,42.5,10.0
Cameron Artis-Payne,317.0,2017,16.7,RB,15,42.5,-25.8
Alfred Blue,319.0,2017,44.6,RB,15,42.5,2.1000000000000014
C.J. Spiller,323.0,2017,0.0,RB,15,42.5,-42.5
Alex Collins,337.0,2017,175.0,RB,15,42.5,132.5
Travaris Cadet,338.0,2017,37.5,RB,16,16.7,20.8
Lance Dunbar,348.0,2017,12.2,RB,16,16.7,-4.5
Benny Cunningham,376.0,2017,58.9,RB,16,16.7,42.2
Elijah McGuire,378.0,2017,78.2,RB,16,16.7,61.5
Devante Mays,390.0,2017,3.1,RB,16,16.7,-13.6
Rob Gronkowski,19.3,2017,225.4,TE,0,159.6,65.80000000000001
Travis Kelce,32.0,2017,235.5,TE,0,159.6,75.9
Jordan Reed,47.0,2017,60.1,TE,0,159.6,-99.5
Greg Olsen,49.7,2017,42.1,TE,0,159.6,-117.5
Jimmy Graham,60.3,2017,169.0,TE,0,159.6,9.400000000000006
Tyler Eifert,76.0,2017,8.6,TE,0,159.6,-151.0
Kyle Rudolph,80.3,2017,158.2,TE,1,146.15,12.049999999999983
Zach Ertz,82.7,2017,204.4,TE,1,146.15,58.25
Delanie Walker,86.0,2017,178.5,TE,1,146.15,32.349999999999994
Martellus Bennett,95.7,2017,58.6,TE,1,146.15,-87.55000000000001
Hunter Henry,101.3,2017,126.9,TE,1,146.15,-19.25
Eric Ebron,108.7,2017,134.4,TE,1,146.15,-11.75
Jack Doyle,117.7,2017,173.0,TE,2,113.45,59.55
Coby Fleener,129.7,2017,63.5,TE,2,113.45,-49.95
Austin Hooper,139.7,2017,119.6,TE,2,113.45,6.1499999999999915
Jason Witten,142.3,2017,149.0,TE,2,113.45,35.55
Cameron Brate,147.0,2017,143.1,TE,2,113.45,29.64999999999999
Julius Thomas,153.7,2017,97.8,TE,2,113.45,-15.650000000000006
O.J. Howard,164.7,2017,105.2,TE,3,102.85,2.3500000000000085
C.J. Fiedorowicz,169.3,2017,26.7,TE,3,102.85,-76.14999999999999
Evan Engram,172.0,2017,173.6,TE,3,102.85,70.75
Jared Cook,174.3,2017,134.8,TE,3,102.85,31.950000000000017
Antonio Gates,182.3,2017,79.6,TE,3,102.85,-23.25
Charles Clay,185.7,2017,116.8,TE,3,102.85,13.950000000000003
Dwayne Allen,190.7,2017,24.6,TE,4,72.05,-47.449999999999996
David Njoku,196.3,2017,94.7,TE,4,72.05,22.650000000000006
Austin Seferian-Jenkins,203.7,2017,103.7,TE,4,72.05,31.650000000000006
Jesse James,218.0,2017,98.2,TE,4,72.05,26.150000000000006
Zach Miller,224.3,2017,55.6,TE,4,72.05,-16.449999999999996
Vance McDonald,226.7,2017,38.8,TE,4,72.05,-33.25
Vernon Davis,252.7,2017,125.8,TE,5,70.5,55.3
George Kittle,257.0,2017,106.5,TE,5,70.5,36.0
Benjamin Watson,259.7,2017,137.2,TE,5,70.5,66.69999999999999
Tyler Higbee,263.0,2017,60.5,TE,5,70.5,-10.0
Jermaine Gresham,272.0,2017,77.2,TE,5,70.5,6.700000000000003
Gerald Everett,283.0,2017,53.7,TE,5,70.5,-16.799999999999997
Dion Sims,284.0,2017,39.0,TE,6,51.7,-12.700000000000003
Adam Shaheen,314.5,2017,42.7,TE,6,51.7,-9.0
Maxx Williams,323.0,2017,30.2,TE,6,51.7,-21.500000000000004
Seth DeValve,336.5,2017,78.5,TE,6,51.7,26.799999999999997
Trey Burton,339.0,2017,77.8,TE,6,51.7,26.099999999999994
Richard Rodgers,339.0,2017,34.0,TE,6,51.7,-17.700000000000003
Ryan Griffin,341.0,2017,34.8,TE,7,36.75,-1.9500000000000028
A.J. Derby,345.0,2017,57.4,TE,7,36.75,20.65
Marcedes Lewis,346.0,2017,85.8,TE,7,36.75,49.05
Lance Kendricks,355.0,2017,44.3,TE,7,36.75,7.549999999999997
Clive Walford,366.0,2017,17.0,TE,7,36.75,-19.75
Virgil Green,374.0,2017,39.1,TE,7,36.75,2.3500000000000014
Jeff Heuerman,383.0,2017,35.2,TE,8,28.1,7.100000000000001
Antonio Brown,3.0,2017,308.3,WR,0,273.95000000000005,34.349999999999966
Julio Jones,4.0,2017,251.9,WR,0,273.95000000000005,-22.05000000000004
Odell Beckham,5.0,2017,74.0,WR,0,273.95000000000005,-199.95000000000005
Mike Evans,6.7,2017,201.1,WR,0,273.95000000000005,-72.85000000000005
A.J. Green,8.0,2017,230.8,WR,0,273.95000000000005,-43.150000000000034
Jordy Nelson,11.3,2017,137.2,WR,0,273.95000000000005,-136.75000000000006
Michael Thomas,13.3,2017,258.5,WR,1,227.8,30.69999999999999
Dez Bryant,18.0,2017,188.4,WR,1,227.8,-39.400000000000006
Amari Cooper,18.7,2017,158.4,WR,1,227.8,-69.4
T.Y. Hilton,20.3,2017,177.6,WR,1,227.8,-50.20000000000002
Doug Baldwin,22.7,2017,221.3,WR,1,227.8,-6.5
Brandin Cooks,23.3,2017,219.2,WR,1,227.8,-8.600000000000023
DeAndre Hopkins,27.7,2017,311.8,WR,2,227.45,84.35000000000002
Demaryius Thomas,29.3,2017,207.9,WR,2,227.45,-19.549999999999983
Terrelle Pryor,32.0,2017,50.0,WR,2,227.45,-177.45
Keenan Allen,32.7,2017,278.2,WR,2,227.45,50.75
Alshon Jeffery,37.0,2017,189.9,WR,2,227.45,-37.54999999999998
Allen Robinson,40.3,2017,2.7,WR,2,227.45,-224.75
Davante Adams,40.3,2017,222.5,WR,3,197.4,25.099999999999994
Tyreek Hill,41.0,2017,241.2,WR,3,197.4,43.79999999999998
Michael Crabtree,46.0,2017,167.8,WR,3,197.4,-29.599999999999994
Sammy Watkins,46.3,2017,146.3,WR,3,197.4,-51.099999999999994
Golden Tate,47.7,2017,224.5,WR,3,197.4,27.099999999999994
Jarvis Landry,48.7,2017,264.0,WR,3,197.4,66.6
Larry Fitzgerald,51.3,2017,260.6,WR,4,164.2,96.40000000000003
Martavis Bryant,52.3,2017,130.5,WR,4,164.2,-33.69999999999999
Stefon Diggs,54.3,2017,198.2,WR,4,164.2,34.0
Kelvin Benjamin,55.3,2017,135.2,WR,4,164.2,-29.0
Emmanuel Sanders,61.3,2017,114.5,WR,4,164.2,-49.69999999999999
Jamison Crowder,64.7,2017,166.3,WR,4,164.2,2.1000000000000227
Willie Snead,68.3,2017,17.2,WR,5,143.10000000000002,-125.90000000000002
Brandon Marshall,69.0,2017,33.4,WR,5,143.10000000000002,-109.70000000000002
DeVante Parker,71.7,2017,130.0,WR,5,143.10000000000002,-13.100000000000023
Pierre Garcon,77.0,2017,90.0,WR,5,143.10000000000002,-53.10000000000002
DeSean Jackson,78.3,2017,138.6,WR,5,143.10000000000002,-4.500000000000028
Donte Moncrief,84.3,2017,77.1,WR,5,143.10000000000002,-66.00000000000003
Jeremy Maclin,87.7,2017,102.0,WR,6,141.4,-39.400000000000006
Randall Cobb,90.3,2017,157.0,WR,6,141.4,15.599999999999994
Eric Decker,93.3,2017,116.3,WR,6,141.4,-25.10000000000001
Tyrell Williams,96.3,2017,139.8,WR,6,141.4,-1.5999999999999943
Adam Thielen,107.7,2017,243.7,WR,6,141.4,102.29999999999998
John Brown,108.3,2017,69.9,WR,6,141.4,-71.5
Corey Coleman,110.7,2017,65.5,WR,7,114.2,-48.7
Marvin Jones,113.0,2017,225.1,WR,7,114.2,110.89999999999999
Kenny Britt,117.3,2017,57.6,WR,7,114.2,-56.6
Jordan Matthews,120.0,2017,59.2,WR,7,114.2,-55.0
Rishard Matthews,122.0,2017,156.2,WR,7,114.2,41.999999999999986
Corey Davis,122.7,2017,71.5,WR,7,114.2,-42.7
Ted Ginn,122.7,2017,159.6,WR,8,126.1,33.5
Mike Wallace,123.7,2017,151.2,WR,8,126.1,25.099999999999994
Chris Hogan,135.0,2017,109.6,WR,8,126.1,-16.5
Josh Doctson,147.0,2017,119.8,WR,8,126.1,-6.299999999999997
Zay Jones,148.0,2017,70.6,WR,8,126.1,-55.5
Kevin White,150.0,2017,2.6,WR,8,126.1,-123.5
Sterling Shepard,150.3,2017,144.5,WR,9,98.55000000000001,45.94999999999999
Robbie Chosen,155.3,2017,200.0,WR,9,98.55000000000001,101.44999999999999
Cole Beasley,156.3,2017,91.4,WR,9,98.55000000000001,-7.150000000000006
