AVG,year,player,fantasyPts,position,bucket,median,expected_diff,sleeper_id,player_id
237.0,2017,Alfred Morris,72.2,RB,11,56.849999999999994,15.350000000000009,8140,1170
237.3,2017,T.J. Yeldon,89.7,RB,11,56.849999999999994,32.85000000000001,8140,2341
238.7,2017,Matt Breida,103.5,RB,11,56.849999999999994,46.650000000000006,8140,4455
239.7,2017,Tarik Cohen,143.3,RB,11,56.849999999999994,86.45000000000002,8140,4157
241.0,2017,De'Angelo Henderson Sr.,12.9,RB,11,56.849999999999994,-43.95,8140,4239
246.0,2017,Jerick McKinnon,180.1,RB,12,20.7,159.4,8140,2161
262.3,2017,Branden Oliver,16.9,RB,12,20.7,-3.8000000000000007,8140,2050
263.7,2017,Javorius Allen,166.1,RB,12,20.7,145.4,8140,2430
264.0,2017,Kenyan Drake,144.3,RB,12,20.7,123.6,8140,3242
266.5,2017,Zach Zenner,8.6,RB,12,20.7,-12.1,8140,2560
276.7,2017,Orleans Darkwa,135.7,RB,12,20.7,115.0,8140,1819
277.0,2017,Kyle Juszczyk,73.6,RB,13,52.849999999999994,20.75,8140,
286.5,2017,Chris Ivory,88.7,RB,13,52.849999999999994,35.85000000000001,8140,717
288.5,2017,Wayne Gallman,106.9,RB,13,52.849999999999994,54.05000000000001,8140,4150
289.0,2017,Akeem Hunt,9.4,RB,13,52.849999999999994,-43.45,8140,2731
296.5,2017,Damien Williams,59.6,RB,13,52.849999999999994,6.750000000000007,8140,1833
300.5,2017,Andre Ellington,87.4,RB,13,52.849999999999994,34.55000000000001,8140,1575
301.0,2017,Matt Jones,1.4,RB,14,23.9,-22.5,8140,2400
303.0,2017,Aaron Jones,80.0,RB,14,23.9,56.1,8140,4199
306.0,2017,Kerwynn Williams,67.9,RB,14,23.9,44.00000000000001,8140,1441
306.0,2017,Fitzgerald Toussaint,5.4,RB,14,23.9,-18.5,8140,2282
309.0,2017,Malcolm Brown,44.9,RB,14,23.9,21.0,8140,2588
309.0,2017,Corey Clement,90.4,RB,14,23.9,66.5,8140,4651
314.0,2017,Dwayne Washington,7.8,RB,15,42.5,-34.7,8140,3391
314.0,2017,Mike Tolbert,52.5,RB,15,42.5,10.0,8140,
317.0,2017,Cameron Artis-Payne,16.7,RB,15,42.5,-25.8,8140,2477
319.0,2017,Alfred Blue,44.6,RB,15,42.5,2.1000000000000014,8140,1944
323.0,2017,C.J. Spiller,0.0,RB,15,42.5,-42.5,8140,507
337.0,2017,Alex Collins,175.0,RB,15,42.5,132.5,8140,3327
338.0,2017,Travaris Cadet,37.5,RB,16,16.7,20.8,8140,1185
348.0,2017,Lance Dunbar,12.2,RB,16,16.7,-4.5,8140,1284
376.0,2017,Benny Cunningham,58.9,RB,16,16.7,42.2,8140,1564
378.0,2017,Elijah McGuire,78.2,RB,16,16.7,61.5,8140,4263
390.0,2017,Devante Mays,3.1,RB,16,16.7,-13.6,8140,4244
19.3,2017,Rob Gronkowski,225.4,TE,0,159.6,65.80000000000001,8140,515
32.0,2017,Travis Kelce,235.5,TE,0,159.6,75.9,8140,1466
47.0,2017,Jordan Reed,60.1,TE,0,159.6,-99.5,8140,1500
49.7,2017,Greg Olsen,42.1,TE,0,159.6,-117.5,8140,58
60.3,2017,Jimmy Graham,169.0,TE,0,159.6,9.400000000000006,8140,616
76.0,2017,Tyler Eifert,8.6,TE,0,159.6,-151.0,8140,1388
80.3,2017,Kyle Rudolph,158.2,TE,1,146.15,12.049999999999985,8140,943
82.7,2017,Zach Ertz,204.4,TE,1,146.15,58.25,8140,1339
86.0,2017,Delanie Walker,178.5,TE,1,146.15,32.349999999999994,8140,284
95.7,2017,Martellus Bennett,58.6,TE,1,146.15,-87.55000000000001,8140,40
101.3,2017,Hunter Henry,126.9,TE,1,146.15,-19.25,8140,3214
108.7,2017,Eric Ebron,134.4,TE,1,146.15,-11.75,8140,2118
117.7,2017,Jack Doyle,173.0,TE,2,113.45,59.55,8140,1706
129.7,2017,Coby Fleener,63.5,TE,2,113.45,-49.95,8140,1107
139.7,2017,Austin Hooper,119.6,TE,2,113.45,6.1499999999999915,8140,3202
142.3,2017,Jason Witten,149.0,TE,2,113.45,35.55,8140,23
147.0,2017,Cameron Brate,143.1,TE,2,113.45,29.64999999999999,8140,2214
153.7,2017,Julius Thomas,97.8,TE,2,113.45,-15.650000000000006,8140,874
164.7,2017,O.J. Howard,105.2,TE,3,102.85,2.3500000000000085,8140,4055
169.3,2017,C.J. Fiedorowicz,26.7,TE,3,102.85,-76.14999999999999,8140,1951
172.0,2017,Evan Engram,173.6,TE,3,102.85,70.75,8140,4066
174.3,2017,Jared Cook,134.8,TE,3,102.85,31.950000000000017,8140,367
182.3,2017,Antonio Gates,79.6,TE,3,102.85,-23.25,8140,322
185.7,2017,Charles Clay,116.8,TE,3,102.85,13.950000000000005,8140,801
190.7,2017,Dwayne Allen,24.6,TE,4,72.05,-47.45,8140,1105
196.3,2017,David Njoku,94.7,TE,4,72.05,22.65000000000001,8140,4033
203.7,2017,Austin Seferian-Jenkins,103.7,TE,4,72.05,31.65000000000001,8140,2222
218.0,2017,Jesse James,98.2,TE,4,72.05,26.15000000000001,8140,2463
224.3,2017,Zach Miller,55.6,TE,4,72.05,-16.449999999999996,8140,171
226.7,2017,Vance McDonald,38.8,TE,4,72.05,-33.25,8140,1587
252.7,2017,Vernon Davis,125.8,TE,5,70.5,55.3,8140,200
257.0,2017,George Kittle,106.5,TE,5,70.5,36.0,8140,4217
259.7,2017,Benjamin Watson,137.2,TE,5,70.5,66.69999999999999,8140,663
263.0,2017,Tyler Higbee,60.5,TE,5,70.5,-10.0,8140,3271
272.0,2017,Jermaine Gresham,77.2,TE,5,70.5,6.700000000000003,8140,530
283.0,2017,Gerald Everett,53.7,TE,5,70.5,-16.799999999999997,8140,4089
284.0,2017,Dion Sims,39.0,TE,6,51.7,-12.700000000000005,8140,1357
314.5,2017,Adam Shaheen,42.7,TE,6,51.7,-9.0,8140,4085
323.0,2017,Maxx Williams,30.2,TE,6,51.7,-21.500000000000004,8140,2360
336.5,2017,Seth DeValve,78.5,TE,6,51.7,26.799999999999997,8140,3296
339.0,2017,Trey Burton,77.8,TE,6,51.7,26.09999999999999,8140,1793
339.0,2017,Richard Rodgers,34.0,TE,6,51.7,-17.700000000000003,8140,2146
341.0,2017,Ryan Griffin,34.8,TE,7,36.75,-1.9500000000000028,8140,1425
345.0,2017,A.J. Derby,57.4,TE,7,36.75,20.65,8140,2503
346.0,2017,Marcedes Lewis,85.8,TE,7,36.75,49.05,8140,111
355.0,2017,Lance Kendricks,44.3,TE,7,36.75,7.549999999999997,8140,964
366.0,2017,Clive Walford,17.0,TE,7,36.75,-19.75,8140,2373
374.0,2017,Virgil Green,39.1,TE,7,36.75,2.3500000000000014,8140,868
383.0,2017,Jeff Heuerman,35.2,TE,8,28.1,7.100000000000001,8140,2397
3.0,2017,Antonio Brown,308.3,WR,0,273.95000000000005,34.349999999999966,8140,536
4.0,2017,Julio Jones,251.9,WR,0,273.95000000000005,-22.05000000000004,8140,947
5.0,2017,Odell Beckham Jr.,74.0,WR,0,273.95000000000005,-199.95000000000005,8140,2078
6.7,2017,Mike Evans,201.1,WR,0,273.95000000000005,-72.85000000000005,8140,2216
